Project ID,Project Name,ARB ID,Project Developer,Verifier,Project Type,Voluntary Status,ARB Status,Project Site Location,Project Site State,Project Site Country,Additional Certifications/SDGs,Total Number of Credits Registered ,Methodology / Protocol,Project Notes,Project Website,ACR Source Data,Updated 11-1-23,Total Projects:,684
ACR570,Pattiki 2 Abandoned Mine Methane Recovery Project,CAFR5570,"Forest Carbon Works, PBC","S&A Carbon, LLC",Forest Carbon,,Listed - Active Registry Project,Molalla,OREGON,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,39578.0,ARB Compliance Offset Protocol: U.S. Forest Projects,,,,,,
ACR571,A-Gas V1,,AMC Maine Woods Initiative LLC,"Aster Global Environmental Solutions, Inc.",Forest Carbon,Registered,Not ARB Eligible,"Piscataquis County, Maine",MAINE,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,282557.0,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,,https://www.finitecarbon.com/clients/land-trusts/,,,,
ACR572,The Nature Conservancy Washington Rainforest Renewal Project,CAMM5572,Keyrock Environment LLC,"Agri-Waste Technology, Inc.",Coal Mine Methane,,Listed - Active ARB Project,White County,ILLINOIS,US,"09: Industry, Innovation and Infrastructure;13: Climate Action",81829.0,ARB Compliance Offset Protocol: Mine Methane Capture Projects,,,,,,
ACR573,Anew - Rainier Gateway Forestry Project,,A-Gas US Inc.,Ruby Canyon Environment,Industrial Process Emissions,Completed,Not ARB Eligible,"Wood County, Bowling Green, Ohio",OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",83702.0,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",,www.agasamericas.com,,,,
ACR574,Tradewater ODS 35,,The Nature Conservancy,SCS Global Services (Scientific Certification Systems),Forest Carbon,Registered,Not ARB Eligible,Jefferson and Pacific County,WASHINGTON,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,73857.0,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,,,,,,
ACR576,New Era Abandoned Mine Methane Recovery Project,,Blue Source,"S&A Carbon, LLC",Forest Carbon,Registered,Not ARB Eligible,"Pierce County, WA",WASHINGTON,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,38312.0,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,,,,,,
ACR577,Tennessee Nature Conservance/UT AgResearch Working Woodlands Project,CAOD5577,"Tradewater, LLC","SES, Inc.",Ozone Depleting Substances,,Listed - Active ARB Project,East Liverpool,OHIO,US,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",80326.0,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,,,,,,
ACR578,Pleasant Hill Abandoned Mine Methane Recovery Project,CAMM5578,Keyrock Environment LLC,"Agri-Waste Technology, Inc.",Coal Mine Methane,,Listed - Active ARB Project,Galatia,ILLINOIS,US,"09: Industry, Innovation and Infrastructure;13: Climate Action",172051.0,ARB Compliance Offset Protocol: Mine Methane Capture Projects,,,,,,
ACR579,Staten Island CA,,The University of Tennessee,"Aster Global Environmental Solutions, Inc.",Forest Carbon,Registered,Not ARB Eligible,"Anderson, Franklin, Morgan, Scott",TENNESSEE,US,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,136682.0,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,,,,,,
ACR580,Hudson Tech 2020-4,CAMM5580,Keyrock Environment LLC,,Coal Mine Methane,,Listed - Active ARB Project,Upshur County,WEST VIRGINIA,US,"09: Industry, Innovation and Infrastructure;13: Climate Action",7471.0,ARB Compliance Offset Protocol: Mine Methane Capture Projects,,,,,,
