Project ID,Project Name,Project Developer,Project Type,Project Site State,Project Site Country,Additional Certification(s),Vintage,Deposit Date,Offset Credits Deposited,Offset Credits Released,Offset Credits Retired,Offset Credits Canceled,Offset Credits Canceled for ARB,Buffer Pool Balance,Year Effective,CAR Buffer Data,Updated 11-1-23,Total Buffer Pool:,782813
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2018,2019-10-04,1304,0,0,0,0,1304,2019,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2017,2018-07-23,1068,0,0,0,0,1068,2018,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2017,2019-10-04,257,0,0,0,0,257,2019,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2016,2018-07-23,1265,0,0,0,0,1265,2018,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2016,2018-07-23,211,0,0,0,0,211,2018,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2015,2018-07-23,249,0,0,0,0,249,2018,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2015,2018-07-23,1239,0,0,0,0,1239,2018,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2014,2018-07-23,1291,0,0,0,0,1291,2018,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2014,2018-07-23,244,0,0,0,0,244,2018,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2013,2018-07-23,258,0,0,0,0,258,2018,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2013,2018-07-23,255,0,0,0,0,255,2018,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2012,2014-01-29,2297,0,0,0,0,2297,2014,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2012,2018-07-23,51,0,0,0,0,51,2018,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2011,2014-01-29,5817,0,0,0,0,5817,2014,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2010,2014-01-29,2985,0,0,0,0,2985,2014,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2009,2014-01-29,5254,0,0,0,0,5254,2014,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2008,2014-01-29,5285,0,0,0,0,5285,2014,,,,
CAR646,Katahdin Iron Works Ecological Reserve,AMC Maine Woods Initiative LLC,Improved Forest Management,ME,US,,2007,2014-01-29,1061,0,0,0,0,1061,2014,,,,
CAR648,Finite Carbon - Potlatch Moro Big Pine CE,"Potlatch Forest Holdings, Inc.",Improved Forest Management,AR,US,,2012,2013-05-10,1396,0,0,0,1396,0,2013,,,,
